Primary category name,Secondary category name,Tertiary category name,attribute,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,Attribute value,,
Baby clothing,Children's outdoor wear,Children's soft shell,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's soft shell,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying T-shirt,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying shirt,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's quick-drying pants,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sports suit,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's sports suit,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sports suit,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sports suit,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sports suit,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's sports suit,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sportswear,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's sportswear,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sportswear,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sportswear,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's sportswear,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's sportswear,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's fleece,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's outdoor wear,Children's fleece,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's fleece,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's fleece,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's outdoor wear,Children's fleece,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's outdoor wear,Children's fleece,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's bag,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Children's bag,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's bag,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's bag,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's bag,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Children's bag,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's watch,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Children's watch,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's watch,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's watch,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Children's watch,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Children's watch,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hair accessories,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Hair accessories,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hair accessories,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hair accessories,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hair accessories,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Hair accessories,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Tie/bow tie,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Tie/bow tie,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Tie/bow tie,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Tie/bow tie,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Tie/bow tie,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Tie/bow tie,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hat/scarf/glove,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Hat/scarf/glove,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hat/scarf/glove,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hat/scarf/glove,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Hat/scarf/glove,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Hat/scarf/glove,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Other accessories,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Other accessories,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Other accessories,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Other accessories,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Other accessories,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Other accessories,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Bracelet,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Bracelet,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Bracelet,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Bracelet,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Bracelet,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Bracelet,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Sunglasses,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Sunglasses,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Sunglasses,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Sunglasses,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Sunglasses,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Sunglasses,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,necklace,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,necklace,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,necklace,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,necklace,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,necklace,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,necklace,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Belt/belt,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Children's accessories,Belt/belt,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Belt/belt,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Belt/belt,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Children's accessories,Belt/belt,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Children's accessories,Belt/belt,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm pants,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Home service/underwear,Warm pants,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm pants,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm pants,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm pants,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Home service/underwear,Warm pants,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm top,Material,silk,cotton,polyester,nylon,genuine leather,linen,wool,faux fur,lycra,acetate,acrylic,modal,microfiber,rabbit hair,mesh,PU,lace,knitting cotton,jacquard,voile,lanon,cotton and linen,chiffon,assorted,velvet,denim,ramie,polyamide,,
Baby clothing,Home service/underwear,Warm top,style,active,fashion,novelty,streetwear,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm top,gender,boy,girl,Unisex,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm top,pattern type,solid,animal,cartoon,floral,geometric,leopard,letter,patchwork,plaid,dot,print ,striped,Paisley,,,,,,,,,,,,,,,,,
Baby clothing,Home service/underwear,Warm top,color,light grey,light green,deep gray,deep purple,deep blue,white,violet,colorful,brown,transparent,red wine,deep green,navy blue,purple,pink,green,blue,yellow,black,red,army green,sky blue,light yellow,khaki,chocolate,orange,,,,
Baby clothing,Home service/underwear,Warm top,Size,0-12 mouth,0-6 mouth,3-4 years,5 years,6 years,1-2 years,8 years,,,,,,,,,,,,,,,,,,,,,,,
