一级类目名称,二级类目名称,三级类目名称,属性,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,属性值,,,,
婴童服装,童装,其他配饰,材质,真丝,棉,涤纶,尼龙,真皮,亚麻,羊毛,假皮草,莱卡,醋酸纤维,腈纶,莫代尔,超细纤维,兔毛,网纱,PU,蕾丝,针织棉,提花,薄纱,聚酯纤维,棉麻,雪纺,混合材质,天鹅绒,牛仔,苎麻,聚酰胺,,,,
婴童服装,童装,其他配饰,风格,活跃的,时尚,新奇,街头服饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,童装,其他配饰,性别,男,女,中性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,童装,其他配饰,图案,纯色,动物,卡通形象,花朵,几何,豹纹,字母,拼接,格子,圆点,印花,条纹,旋涡,,,,,,,,,,,,,,,,,,,
婴童服装,童装,其他配饰,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童服装,童装,其他配饰,尺寸,0-12月,0-6月,3-4岁,5岁,6岁,1-2岁,8岁,,,,,,,,,,,,,,,,,,,,,,,,,
孕妈服饰用品,孕妈服饰,其他配饰,适用对象,宝宝,孕妈,两者都可以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孕妈服饰用品,孕妈服饰,其他配饰,用途,用途1,用途2,用途3,用途4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孕妈服饰用品,孕妈服饰,其他配饰,材质,真丝,棉,涤纶,尼龙,真皮,亚麻,羊毛,假皮草,莱卡,醋酸纤维,腈纶,莫代尔,超细纤维,兔毛,网纱,PU,蕾丝,针织棉,提花,薄纱,聚酯纤维,棉麻,雪纺,混合材质,天鹅绒,牛仔,苎麻,聚酰胺,,,,
孕妈服饰用品,孕妈服饰,其他配饰,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
孕妈服饰用品,孕妈服饰,其他配饰,规格,规格1,规格2,规格3,规格4,规格5,规格6,规格7,规格8,规格9,其他,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,手链,材质,材质1,材质2,材质3,材质4,材质5,其他,,,,,,,,,,,,,,,,,,,,,,聚酰胺,,,,
婴童服装,儿童配饰,手链,风格,活跃的,时尚,新奇,街头服饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,手链,性别,男,女,中性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,手链,图案,纯色,动物,卡通形象,花朵,几何,豹纹,字母,拼接,格子,圆点,印花,条纹,旋涡,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,手链,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童服装,儿童配饰,手链,尺寸,0-12月,0-6月,3-4岁,5岁,6岁,1-2岁,8岁,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,太阳镜,材质,材质1,材质2,材质3,材质4,材质5,其他,,,,,,,,,,,,,,,,,,,,,,聚酰胺,,,,
婴童服装,儿童配饰,太阳镜,风格,活跃的,时尚,新奇,街头服饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,太阳镜,性别,男,女,中性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,太阳镜,图案,纯色,动物,卡通形象,花朵,几何,豹纹,字母,拼接,格子,圆点,印花,条纹,旋涡,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,太阳镜,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童服装,儿童配饰,太阳镜,尺寸,0-12月,0-6月,3-4岁,5岁,6岁,1-2岁,8岁,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,项链,材质,材质1,材质2,材质3,材质4,材质5,其他,,,,,,,,,,,,,,,,,,,,,,聚酰胺,,,,
婴童服装,儿童配饰,项链,风格,活跃的,时尚,新奇,街头服饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,项链,性别,男,女,中性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,项链,图案,纯色,动物,卡通形象,花朵,几何,豹纹,字母,拼接,格子,圆点,印花,条纹,旋涡,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,项链,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童服装,儿童配饰,项链,尺寸,0-12月,0-6月,3-4岁,5岁,6岁,1-2岁,8岁,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,腰带/皮带,材质,材质1,材质2,材质3,材质4,材质5,其他,,,,,,,,,,,,,,,,,,,,,,聚酰胺,,,,
婴童服装,儿童配饰,腰带/皮带,风格,活跃的,时尚,新奇,街头服饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,腰带/皮带,性别,男,女,中性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,腰带/皮带,图案,纯色,动物,卡通形象,花朵,几何,豹纹,字母,拼接,格子,圆点,印花,条纹,旋涡,,,,,,,,,,,,,,,,,,,
婴童服装,儿童配饰,腰带/皮带,颜色,浅灰色,浅绿色,深灰色,深紫色,深蓝色,白色,紫罗兰,花色,褐色,透明,酒红色,墨绿色,藏青色,紫色,粉色,绿色,蓝色,黄色,黑色,红色,军绿色,天蓝色,浅黄色,深卡其布色,巧克力色,桔色,,,,,,
婴童服装,儿童配饰,腰带/皮带,尺寸,0-12月,0-6月,3-4岁,5岁,6岁,1-2岁,8岁,,,,,,,,,,,,,,,,,,,,,,,,,
婴童服装,家居服/内衣,保暖裤,材质,真丝,棉,涤纶,尼龙,真皮,亚麻,羊毛,假皮草,莱卡,醋酸纤维,腈纶,莫代尔,超细纤维,兔毛,网纱,PU,蕾丝,针织棉,提花,薄纱,聚酯纤维,棉麻,雪纺,混合材质,天鹅绒,牛仔,苎麻,聚酰胺,,,,
